Date;Prix
2009-08-14;1004.0
2009-08-21;1026.1
2009-08-28;1028.9
2009-04-09;1016.4
2009-11-09;1042.7
2009-09-18;1068.3
2009-09-25;1044.3
2009-02-10;1025.2
2009-09-10;1071.4
2009-10-16;1087.6
2009-10-23;1079.6
2009-10-30;1036.1
2009-06-11;1069.3
2009-11-13;1093.4
2009-11-20;1091.3
2009-11-27;1091.4
2009-04-12;1105.9
2009-11-12;1106.4
2009-12-18;1102.4
2009-12-25;1126.4
2010-01-01;1115.1
2010-08-01;1144.9
2010-01-15;1136.0
2010-01-22;1091.7
2010-01-29;1073.8
2010-05-02;1066.1
2010-12-02;1075.5
2010-02-19;1109.1
2010-02-26;1104.4
2010-05-03;1138.7
2010-12-03;1149.9
2010-03-19;1159.9
2010-03-26;1166.5
2010-02-04;1178.1
2010-09-04;1194.3
2010-04-16;1192.1
2010-04-23;1217.2
2010-04-30;1186.6
2010-07-05;1110.8
2010-05-14;1135.6
2010-05-21;1087.6
2010-05-28;1089.4
2010-04-06;1064.8
2010-11-06;1091.6
2010-06-18;1117.5
2010-06-25;1076.7
2010-02-07;1022.5
2010-09-07;1077.9
2010-07-16;1064.8
2010-07-23;1102.6
2010-07-30;1101.6
2010-06-08;1121.6
2010-08-13;1079.2
2010-08-20;1071.6
2010-08-27;1064.5
2010-03-09;1104.5
2010-10-09;1109.5
2010-09-17;1125.5
2010-09-24;1148.6
2010-01-10;1146.2
2010-08-10;1165.1
2010-10-15;1176.1
2010-10-22;1183.0
2010-10-29;1183.2
2010-05-11;1225.8
2010-12-11;1199.2
2010-11-19;1199.7
2010-11-26;1189.4
2010-03-12;1224.7
2010-10-12;1240.4
2010-12-17;1243.9
2010-12-24;1256.7
2010-12-31;1257.6
2011-07-01;1271.5
2011-01-14;1293.2
2011-01-21;1283.3
2011-01-28;1276.3
2011-04-02;1310.8
2011-11-02;1329.1
2011-02-18;1343.0
2011-02-25;1319.8
2011-04-03;1321.1
2011-11-03;1304.2
2011-03-18;1279.2
2011-03-25;1313.8
2011-01-04;1332.4
2011-08-04;1328.1
2011-04-15;1319.6
2011-04-22;1337.3
2011-04-29;1363.6
2011-06-05;1340.2
2011-05-13;1337.7
2011-05-20;1333.2
2011-05-27;1331.1
2011-03-06;1300.1
2011-10-06;1270.9
2011-06-17;1271.5
2011-06-24;1268.4
2011-01-07;1339.6
2011-08-07;1343.8
2011-07-15;1316.1
2011-07-22;1345.0
2011-07-29;1292.2
2011-05-08;1199.3
2011-12-08;1178.8
2011-08-19;1123.5
2011-08-26;1176.8
2011-02-09;1173.9
2011-09-09;1154.2
2011-09-16;1216.0
2011-09-23;1136.4
2011-09-30;1131.4
2011-07-10;1155.4
2011-10-14;1224.5
2011-10-21;1238.2
2011-10-28;1285.0
2011-04-11;1253.2
2011-11-11;1263.8
2011-11-18;1215.6
2011-11-25;1158.6
2011-02-12;1244.2
2011-09-12;1255.1
2011-12-16;1219.6
2011-12-23;1265.3
2011-12-30;1257.6
2012-06-01;1277.8
2012-01-13;1289.0
2012-01-20;1315.3
2012-01-27;1316.3
2012-03-02;1344.9
2012-10-02;1342.6
2012-02-17;1361.2
2012-02-24;1365.7
2012-02-03;1369.6
2012-09-03;1370.8
2012-03-16;1404.1
2012-03-23;1397.1
2012-03-30;1408.4
2012-06-04;1398.0
2012-04-13;1370.2
2012-04-20;1378.5
2012-04-27;1403.3
2012-04-05;1369.1
2012-11-05;1353.3
2012-05-18;1295.2
2012-05-25;1317.8
2012-01-06;1278.0
2012-08-06;1325.6
2012-06-15;1342.8
2012-06-22;1335.0
2012-06-29;1362.1
2012-06-07;1354.6
2012-07-13;1356.7
2012-07-20;1362.6
2012-07-27;1385.9
2012-03-08;1390.9
2012-10-08;1405.8
2012-08-17;1418.1
2012-08-24;1411.1
2012-08-31;1406.5
2012-07-09;1437.9
2012-09-14;1465.7
2012-09-21;1460.1
2012-09-28;1440.6
2012-05-10;1460.9
2012-12-10;1428.5
2012-10-19;1433.1
2012-10-26;1411.9
2012-02-11;1414.2
2012-09-11;1379.8
2012-11-16;1359.8
2012-11-23;1409.1
2012-11-30;1416.1
2012-07-12;1418.0
2012-12-14;1413.5
2012-12-21;1430.1
2012-12-28;1402.4
2013-04-01;1466.4
2013-11-01;1472.0
